districtname,weekdesc,totalcount
AZ-NM,2021-10-16,31
AZ-NM,2021-10-23,675
AZ-NM,2021-10-30,1463
AZ-NM,2021-11-06,1110
AZ-NM,2021-11-13,1533
AZ-NM,2021-11-20,4101
AZ-NM,2021-11-27,2091
AZ-NM,2021-12-04,373
AZ-NM,2021-12-11,893
AZ-NM,2021-12-18,2166
AZ-NM,2021-12-25,1316
AZ-NM,2022-01-01,225
AZ-NM,2022-01-08,296
AZ-NM,2022-01-15,2761
AZ-NM,2022-01-22,1461
AZ-NM,2022-01-29,1099
AZ-NM,2022-02-05,1630
AZ-NM,2022-02-12,195
AZ-NM,2022-02-19,536
AZ-NM,2022-02-26,1318
AZ-NM,2022-03-05,795
AZ-NM,2022-03-12,4192
AZ-NM,2022-03-19,1345
AZ-NM,2022-03-26,1349
AZ-NM,2022-04-02,843
AZ-NM,2022-04-09,3899
AZ-NM,2022-04-16,1784
AZ-NM,2022-04-23,1418
AZ-NM,2022-04-30,921
AZ-NM,2022-05-07,209
AZ-NM,2022-05-14,1567
AZ-NM,2022-05-21,251
AZ-NM,2022-05-28,548
AZ-NM,2022-06-04,1240
AZ-NM,2022-06-11,624
AZ-NM,2022-06-18,1620
AZ-NM,2022-06-25,732
AZ-NM,2022-07-02,1688
AZ-NM,2022-07-09,795
AZ-NM,2022-07-16,1908
AZ-NM,2022-07-23,2701
AZ-NM,2022-07-30,756
AZ-NM,2022-08-06,1468
AZ-NM,2022-08-13,1180
AZ-NM,2022-08-20,798
AZ-NM,2022-08-27,2061
AZ-NM,2022-09-03,434
AZ-NM,2022-09-10,58
AZ-NM,2022-09-17,862
AZ-NM,2022-09-24,1220
AZ-NM,2022-10-01,249
AZ-NM,2022-10-08,782
AZ-NM,2022-10-15,362
