,areaid,areaname,districtid,districtname,areaid0,areaname0,districtid0,districtname0,pharmagroup,clientdunsno,customerlocationname,custcol_8,parentptsdunsno,custcol_6,parentshipperlocationname,productcode,producttypedesc,weekid,weekdesc,monthid,monthdesc,mailclasscode,svcstddaytimecode,mailclasssrvcstddesc,ontimevolume,totalcount,failedcount
0,7,SOUTHERN,1497,FLORIDA 1,7,SOUTHERN,1497,FLORIDA 1,HDP,902293986,HDP,902293986,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5568,2022-01-08,1289,JAN 2022,PM,2D  ,Priority Mail - 2 Day,14,14,0
1,10,CENTRAL,72,KS-MO,10,CENTRAL,72,KS-MO,OPTUM RX OP_HDP,902746684,OPTUM RX OP_HDP,902746684,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5602,2022-09-03,1297,SEP 2022,FC,2D  ,First Class - 2 Day,337,357,20
2,2,ATLANTIC,9,MA-RI,2,ATLANTIC,9,MA-RI,HDP,902293986,HDP,902293986,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5597,2022-07-30,1296,AUG 2022,FC,2D  ,First Class - 2 Day,1,1,0
3,10,CENTRAL,72,KS-MO,10,CENTRAL,16,OHIO 2,CMOP LEAVENWORTH,901581567,CMOP LEAVENWORTH,901581567,901581565,901581565,GENCO,PM ,Priority Mail                                     ,5566,2021-12-25,1288,DEC 2021,PM,3D  ,Priority Mail - 3 Day,7,7,0
4,5,WESTPAC,1081,AZ-NM,5,WESTPAC,1080,NV-UT,HUMANA,931508577,HUMANA - PHX (PMOD),931508577,901097571,901097571,HUMANA PROCUREMENT,PM ,Priority Mail                                     ,5569,2022-01-15,1289,JAN 2022,PM,2D  ,Priority Mail - 2 Day,416,420,4
5,5,WESTPAC,63,CALIFORNIA 6,2,ATLANTIC,28,CONNECTICUT,HDP,902205135,HDP,902205135,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5586,2022-05-14,1293,MAY 2022,FC,5D  ,First Class - 5 Day,53,59,6
6,2,ATLANTIC,2294,NORTH CAROLINA,10,CENTRAL,32,INDIANA,OPTUM RX CH_HDP,902746633,OPTUM RX CH_HDP,902746633,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5562,2021-11-27,1287,NOV 2021,FC,3D  ,First Class - 3 Day,804,813,9
7,7,SOUTHERN,79,TEXAS 3,2,ATLANTIC,57,DE-PA 2 DISTRICT,HDP,902541977,HDP,902541977,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5577,2022-03-12,1291,MAR 2022,PM,2D  ,Priority Mail - 2 Day,2,2,0
8,5,WESTPAC,63,CALIFORNIA 6,5,WESTPAC,1080,NV-UT,CVS,999999186,CVS 01703 REDLANDS RETAIL,999999186,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5573,2022-02-12,1290,FEB 2022,PM,2D  ,Priority Mail - 2 Day,1,1,0
9,10,CENTRAL,72,KS-MO,2,ATLANTIC,68,ME-NH-VT,HDP,902205142,HDP,902205142,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5573,2022-02-12,1290,FEB 2022,PM,2D  ,Priority Mail - 2 Day,4,9,5
10,10,CENTRAL,72,KS-MO,5,WESTPAC,63,CALIFORNIA 6,OPTUM RX OP_HDP,902746685,OPTUM RX OP_HDP,902746685,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5561,2021-11-20,1287,NOV 2021,PM,2D  ,Priority Mail - 2 Day,1,1,0
11,5,WESTPAC,1081,AZ-NM,5,WESTPAC,73,WASHINGTON,HUMANA,931508577,HUMANA - PHX (PMOD),931508577,901097571,901097571,HUMANA PROCUREMENT,PM ,Priority Mail                                     ,5607,2022-10-08,1298,OCT 2022,PM,3D  ,Priority Mail - 3 Day,43,44,1
12,10,CENTRAL,72,KS-MO,2,ATLANTIC,57,DE-PA 2 DISTRICT,CMOP LEAVENWORTH,901581567,CMOP LEAVENWORTH,901581567,901581565,901581565,GENCO,FC ,First-Class                                       ,5586,2022-05-14,1293,MAY 2022,FC,3D  ,First Class - 3 Day,309,400,91
13,5,WESTPAC,1081,AZ-NM,2,ATLANTIC,74,VIRGINIA,HUMANA,931508577,HUMANA - PHX (PMOD),931508577,901097571,901097571,HUMANA PROCUREMENT,FC ,First-Class                                       ,5602,2022-09-03,1297,SEP 2022,FC,5D  ,First Class - 5 Day,398,401,3
14,10,CENTRAL,14,ILLINOIS 1,10,CENTRAL,15,ILLINOIS 2,CMOP HINES,901581575,CMOP HINES,901581575,901581565,901581565,GENCO,PM ,Priority Mail                                     ,5585,2022-05-07,1293,MAY 2022,PM,3D  ,Priority Mail - 3 Day,3,3,0
15,5,WESTPAC,63,CALIFORNIA 6,10,CENTRAL,16,OHIO 2,HDP,902205135,HDP,902205135,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5577,2022-03-12,1291,MAR 2022,PM,3D  ,Priority Mail - 3 Day,2,2,0
16,2,ATLANTIC,2294,NORTH CAROLINA,7,SOUTHERN,1497,FLORIDA 1,OPTUM RX CH_HDP,902746633,OPTUM RX CH_HDP,902746633,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5556,2021-10-16,1286,OCT 2021,FC,3D  ,First Class - 3 Day,9,10,1
